DriverNumber,Driver,GridPosition,ClassifiedPosition,TyreStrategy,Status,GP,Year
12,ANT,8.0,6,"['MEDIUM', 'HARD']",Finished,Chinese Grand Prix,2025
23,ALB,10.0,7,"['MEDIUM', 'HARD']",Finished,Chinese Grand Prix,2025
87,BEA,17.0,8,"['HARD', 'MEDIUM']",Finished,Chinese Grand Prix,2025
18,STR,14.0,9,"['HARD', 'MEDIUM']",Finished,Chinese Grand Prix,2025
55,SAI,15.0,10,"['MEDIUM', 'HARD']",Finished,Chinese Grand Prix,2025
6,HAD,7.0,11,"['MEDIUM', 'HARD', 'HARD']",Finished,Chinese Grand Prix,2025
30,LAW,20.0,12,"['HARD', 'MEDIUM', 'HARD']",Finished,Chinese Grand Prix,2025
7,DOO,18.0,13,"['MEDIUM', 'HARD']",Finished,Chinese Grand Prix,2025
5,BOR,19.0,14,"['MEDIUM', 'HARD', 'HARD']",Lapped,Chinese Grand Prix,2025
27,HUL,12.0,15,"['MEDIUM', 'HARD']",Lapped,Chinese Grand Prix,2025
22,TSU,9.0,16,"['MEDIUM', 'HARD', 'HARD', 'MEDIUM']",Lapped,Chinese Grand Prix,2025
14,ALO,13.0,R,['MEDIUM'],Retired,Chinese Grand Prix,2025
16,LEC,6.0,D,"['MEDIUM', 'HARD']",Disqualified,Chinese Grand Prix,2025
44,HAM,5.0,D,"['MEDIUM', 'HARD', 'HARD']",Disqualified,Chinese Grand Prix,2025
10,GAS,16.0,D,"['MEDIUM', 'HARD']",Disqualified,Chinese Grand Prix,2025
1,VER,1.0,1,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
4,NOR,2.0,2,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
81,PIA,3.0,3,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
16,LEC,4.0,4,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
63,RUS,5.0,5,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
12,ANT,6.0,6,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
44,HAM,8.0,7,"['HARD', 'MEDIUM']",Finished,Japanese Grand Prix,2025
6,HAD,7.0,8,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
23,ALB,9.0,9,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
87,BEA,10.0,10,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
14,ALO,12.0,11,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
22,TSU,14.0,12,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
10,GAS,11.0,13,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
55,SAI,15.0,14,"['MEDIUM', 'SOFT']",Finished,Japanese Grand Prix,2025
7,DOO,19.0,15,"['SOFT', 'HARD']",Finished,Japanese Grand Prix,2025
27,HUL,16.0,16,"['MEDIUM', 'HARD']",Finished,Japanese Grand Prix,2025
30,LAW,13.0,17,"['MEDIUM', 'SOFT']",Finished,Japanese Grand Prix,2025
31,OCO,18.0,18,"['HARD', 'MEDIUM']",Finished,Japanese Grand Prix,2025
5,BOR,17.0,19,"['HARD', 'MEDIUM']",Finished,Japanese Grand Prix,2025
18,STR,20.0,20,"['SOFT', 'HARD', 'MEDIUM']",Lapped,Japanese Grand Prix,2025
81,PIA,1.0,1,"['SOFT', 'MEDIUM', 'MEDIUM']",Finished,Bahrain Grand Prix,2025
63,RUS,3.0,2,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2025
4,NOR,6.0,3,"['SOFT', 'MEDIUM', 'MEDIUM']",Finished,Bahrain Grand Prix,2025
16,LEC,2.0,4,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Bahrain Grand Prix,2025
44,HAM,9.0,5,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Bahrain Grand Prix,2025
1,VER,7.0,6,"['SOFT', 'HARD', 'MEDIUM']",Finished,Bahrain Grand Prix,2025
10,GAS,4.0,7,"['SOFT', 'MEDIUM', 'HARD']",Finished,Bahrain Grand Prix,2025
31,OCO,14.0,8,"['SOFT', 'MEDIUM', 'HARD']",Finished,Bahrain Grand Prix,2025
22,TSU,10.0,9,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2025
87,BEA,20.0,10,"['SOFT', 'HARD', 'SOFT']",Finished,Bahrain Grand Prix,2025
12,ANT,5.0,11,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Finished,Bahrain Grand Prix,2025
23,ALB,15.0,12,"['SOFT', 'HARD', 'MEDIUM']",Finished,Bahrain Grand Prix,2025
6,HAD,12.0,13,"['SOFT', 'MEDIUM', 'HARD']",Finished,Bahrain Grand Prix,2025
7,DOO,11.0,14,"['SOFT', 'MEDIUM', 'HARD']",Finished,Bahrain Grand Prix,2025
14,ALO,13.0,15,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Bahrain Grand Prix,2025
30,LAW,17.0,16,"['MEDIUM', 'HARD', 'SOFT']",Finished,Bahrain Grand Prix,2025
18,STR,19.0,17,"['SOFT', 'MEDIUM', 'HARD']",Finished,Bahrain Grand Prix,2025
5,BOR,18.0,18,"['MEDIUM', 'HARD', 'MEDIUM']",Finished,Bahrain Grand Prix,2025
55,SAI,8.0,R,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']",Retired,Bahrain Grand Prix,2025
27,HUL,16.0,D,"['SOFT', 'MEDIUM', 'MEDIUM']",Disqualified,Bahrain Grand Prix,2025
81,PIA,2.0,1,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
1,VER,1.0,2,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
16,LEC,4.0,3,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
4,NOR,10.0,4,"['HARD', 'MEDIUM']",Finished,Saudi Arabian Grand Prix,2025
63,RUS,3.0,5,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
12,ANT,5.0,6,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
44,HAM,7.0,7,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
55,SAI,6.0,8,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
23,ALB,11.0,9,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
6,HAD,14.0,10,"['HARD', 'MEDIUM']",Finished,Saudi Arabian Grand Prix,2025
14,ALO,13.0,11,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
30,LAW,12.0,12,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
87,BEA,15.0,13,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
31,OCO,19.0,14,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2025
27,HUL,18.0,15,"['HARD', 'MEDIUM']",Lapped,Saudi Arabian Grand Prix,2025
18,STR,16.0,16,"['HARD', 'MEDIUM']",Lapped,Saudi Arabian Grand Prix,2025
7,DOO,17.0,17,"['MEDIUM', 'HARD', 'HARD']",Lapped,Saudi Arabian Grand Prix,2025
5,BOR,20.0,18,"['MEDIUM', 'HARD']",Lapped,Saudi Arabian Grand Prix,2025
22,TSU,8.0,R,['MEDIUM'],Retired,Saudi Arabian Grand Prix,2025
10,GAS,9.0,R,['MEDIUM'],Retired,Saudi Arabian Grand Prix,2025
81,PIA,4.0,1,"['MEDIUM', 'HARD']",Finished,Miami Grand Prix,2025
4,NOR,2.0,2,"['MEDIUM', 'HARD']",Finished,Miami Grand Prix,2025
63,RUS,5.0,3,"['HARD', 'MEDIUM']",Finished,Miami Grand Prix,2025
1,VER,1.0,4,"['MEDIUM', 'HARD']",Finished,Miami Grand Prix,2025
23,ALB,7.0,5,"['MEDIUM', 'HARD']",Finished,Miami Grand Prix,2025
12,ANT,3.0,6,"['MEDIUM', 'HARD']",Finished,Miami Grand Prix,2025
16,LEC,8.0,7,"['MEDIUM', 'HARD']",Finished,Miami Grand Prix,2025
44,HAM,12.0,8,"['HARD', 'MEDIUM']",Finished,Miami Grand Prix,2025
55,SAI,6.0,9,"['MEDIUM', 'HARD']",Finished,Miami Grand Prix,2025
22,TSU,10.0,10,"['MEDIUM', 'HARD']",Finished,Miami Grand Prix,2025
6,HAD,11.0,11,['HARD'],Finished,Miami Grand Prix,2025
31,OCO,9.0,12,['HARD'],Finished,Miami Grand Prix,2025
10,GAS,20.0,13,"['HARD', 'MEDIUM']",Finished,Miami Grand Prix,2025
27,HUL,16.0,14,"['HARD', 'MEDIUM']",Lapped,Miami Grand Prix,2025
14,ALO,17.0,15,"['HARD', 'MEDIUM']",Lapped,Miami Grand Prix,2025
18,STR,18.0,16,['HARD'],Lapped,Miami Grand Prix,2025
30,LAW,15.0,R,"['HARD', 'MEDIUM']",Retired,Miami Grand Prix,2025
5,BOR,13.0,R,['HARD'],Retired,Miami Grand Prix,2025
87,BEA,19.0,R,['HARD'],Retired,Miami Grand Prix,2025
7,DOO,14.0,R,['MEDIUM'],Retired,Miami Grand Prix,2025
1,VER,2.0,1,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
4,NOR,4.0,2,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
81,PIA,1.0,3,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
44,HAM,12.0,4,"['HARD', 'MEDIUM', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
23,ALB,7.0,5,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
16,LEC,11.0,6,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
63,RUS,3.0,7,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
55,SAI,6.0,8,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
6,HAD,9.0,9,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
22,TSU,20.0,10,"['HARD', 'MEDIUM']",Finished,Emilia Romagna Grand Prix,2025
14,ALO,5.0,11,"['MEDIUM', 'HARD', 'MEDIUM']",Finished,Emilia Romagna Grand Prix,2025
27,HUL,17.0,12,"['HARD', 'MEDIUM']",Finished,Emilia Romagna Grand Prix,2025
10,GAS,10.0,13,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
30,LAW,15.0,14,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
18,STR,8.0,15,"['MEDIUM', 'HARD', 'MEDIUM']",Finished,Emilia Romagna Grand Prix,2025
43,COL,16.0,16,"['MEDIUM', 'HARD', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
87,BEA,19.0,17,"['HARD', 'MEDIUM', 'HARD']",Finished,Emilia Romagna Grand Prix,2025
5,BOR,14.0,18,"['MEDIUM', 'HARD', 'HARD', 'MEDIUM']",Finished,Emilia Romagna Grand Prix,2025
12,ANT,13.0,R,"['HARD', 'MEDIUM']",Retired,Emilia Romagna Grand Prix,2025
31,OCO,18.0,R,"['MEDIUM', 'HARD']",Retired,Emilia Romagna Grand Prix,2025
4,NOR,1.0,1,"['MEDIUM', 'HARD', 'HARD']",Finished,Monaco Grand Prix,2025
16,LEC,2.0,2,"['MEDIUM', 'HARD', 'MEDIUM']",Finished,Monaco Grand Prix,2025
81,PIA,3.0,3,"['MEDIUM', 'HARD', 'HARD']",Finished,Monaco Grand Prix,2025
1,VER,4.0,4,"['HARD', 'MEDIUM', 'SOFT']",Finished,Monaco Grand Prix,2025
44,HAM,7.0,5,"['HARD', 'HARD', 'MEDIUM']",Finished,Monaco Grand Prix,2025
6,HAD,5.0,6,"['MEDIUM', 'SOFT', 'HARD']",Lapped,Monaco Grand Prix,2025
31,OCO,8.0,7,"['MEDIUM', 'MEDIUM', 'HARD']",Lapped,Monaco Grand Prix,2025
30,LAW,9.0,8,"['MEDIUM', 'SOFT', 'HARD']",Lapped,Monaco Grand Prix,2025
23,ALB,10.0,9,"['MEDIUM', 'MEDIUM', 'HARD']",Lapped,Monaco Grand Prix,2025
55,SAI,11.0,10,"['HARD', 'MEDIUM', 'MEDIUM']",Lapped,Monaco Grand Prix,2025
63,RUS,14.0,11,"['HARD', 'MEDIUM', 'HARD']",Lapped,Monaco Grand Prix,2025
87,BEA,20.0,12,"['MEDIUM', 'HARD', 'MEDIUM']",Lapped,Monaco Grand Prix,2025
43,COL,18.0,13,"['HARD', 'MEDIUM', 'MEDIUM']",Lapped,Monaco Grand Prix,2025
5,BOR,16.0,14,"['MEDIUM', 'HARD', 'SOFT', 'MEDIUM']",Lapped,Monaco Grand Prix,2025
18,STR,19.0,15,"['HARD', 'HARD', 'MEDIUM']",Lapped,Monaco Grand Prix,2025
27,HUL,13.0,16,"['MEDIUM', 'HARD', 'SOFT']",Lapped,Monaco Grand Prix,2025
22,TSU,12.0,17,"['SOFT', 'HARD', 'MEDIUM']",Lapped,Monaco Grand Prix,2025
12,ANT,15.0,18,"['HARD', 'MEDIUM', 'HARD']",Lapped,Monaco Grand Prix,2025
14,ALO,6.0,R,"['HARD', 'HARD']",Retired,Monaco Grand Prix,2025
10,GAS,17.0,R,"['MEDIUM', 'MEDIUM']",Retired,Monaco Grand Prix,2025
81,PIA,1.0,1,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Finished,Spanish Grand Prix,2025
4,NOR,2.0,2,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Finished,Spanish Grand Prix,2025
16,LEC,7.0,3,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']",Finished,Spanish Grand Prix,2025
63,RUS,4.0,4,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Finished,Spanish Grand Prix,2025
27,HUL,15.0,5,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Finished,Spanish Grand Prix,2025
44,HAM,5.0,6,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Finished,Spanish Grand Prix,2025
6,HAD,9.0,7,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Finished,Spanish Grand Prix,2025
10,GAS,8.0,8,"['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",Finished,Spanish Grand Prix,2025
14,ALO,10.0,9,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Finished,Spanish Grand Prix,2025
1,VER,3.0,10,"['SOFT', 'SOFT', 'MEDIUM', 'SOFT', 'HARD']",Finished,Spanish Grand Prix,2025
30,LAW,13.0,11,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Spanish Grand Prix,2025
5,BOR,12.0,12,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Spanish Grand Prix,2025
22,TSU,19.0,13,"['MEDIUM', 'SOFT', 'SOFT', 'SOFT', 'SOFT']",Finished,Spanish Grand Prix,2025
55,SAI,17.0,14,"['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",Finished,Spanish Grand Prix,2025
43,COL,18.0,15,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Finished,Spanish Grand Prix,2025
31,OCO,16.0,16,"['SOFT', 'MEDIUM', 'MEDIUM']",Finished,Spanish Grand Prix,2025
87,BEA,14.0,17,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']",Finished,Spanish Grand Prix,2025
12,ANT,6.0,R,"['SOFT', 'MEDIUM', 'SOFT']",Retired,Spanish Grand Prix,2025
23,ALB,11.0,R,"['SOFT', 'SOFT', 'SOFT']",Retired,Spanish Grand Prix,2025
63,RUS,1.0,1,"['MEDIUM', 'HARD', 'HARD', 'HARD', 'HARD', 'HARD']",Finished,Canadian Grand Prix,2025
1,VER,2.0,2,"['MEDIUM', 'HARD', 'HARD', 'HARD', 'HARD', 'HARD']",Finished,Canadian Grand Prix,2025
12,ANT,4.0,3,"['MEDIUM', 'HARD', 'HARD', 'HARD', 'HARD', 'HARD']",Finished,Canadian Grand Prix,2025
81,PIA,3.0,4,"['MEDIUM', 'HARD', 'HARD', 'SOFT', 'SOFT', 'SOFT']",Finished,Canadian Grand Prix,2025
16,LEC,8.0,5,"['HARD', 'HARD', 'MEDIUM', 'MEDIUM', 'MEDIUM', 'MEDIUM']",Finished,Canadian Grand Prix,2025
44,HAM,5.0,6,"['MEDIUM', 'HARD', 'HARD', 'HARD', 'HARD', 'HARD']",Finished,Canadian Grand Prix,2025
14,ALO,6.0,7,"['MEDIUM', 'HARD', 'HARD', 'HARD', 'HARD', 'HARD', 'HARD']",Finished,Canadian Grand Prix,2025
27,HUL,11.0,8,"['MEDIUM', 'HARD', 'HARD', 'HARD', 'HARD', 'HARD']",Finished,Canadian Grand Prix,2025
31,OCO,14.0,9,"['HARD', 'MEDIUM', 'MEDIUM', 'MEDIUM', 'MEDIUM']",Lapped,Canadian Grand Prix,2025
55,SAI,16.0,10,"['HARD', 'MEDIUM', 'MEDIUM', 'MEDIUM', 'MEDIUM']",Lapped,Canadian Grand Prix,2025
87,BEA,13.0,11,"['MEDIUM', 'HARD', 'SOFT', 'SOFT', 'SOFT']",Lapped,Canadian Grand Prix,2025
22,TSU,18.0,12,"['HARD', 'MEDIUM', 'MEDIUM', 'MEDIUM', 'MEDIUM']",Lapped,Canadian Grand Prix,2025
43,COL,10.0,13,"['MEDIUM', 'HARD', 'HARD', 'HARD', 'HARD']",Lapped,Canadian Grand Prix,2025
5,BOR,15.0,14,"['HARD', 'MEDIUM', 'MEDIUM', 'MEDIUM', 'MEDIUM']",Lapped,Canadian Grand Prix,2025
10,GAS,20.0,15,"['HARD', 'MEDIUM', 'MEDIUM', 'MEDIUM', 'MEDIUM']",Lapped,Canadian Grand Prix,2025
6,HAD,12.0,16,"['MEDIUM', 'HARD', 'SOFT', 'SOFT', 'SOFT']",Lapped,Canadian Grand Prix,2025
18,STR,17.0,17,"['HARD', 'HARD', 'MEDIUM', 'SOFT', 'SOFT', 'SOFT']",Lapped,Canadian Grand Prix,2025
4,NOR,7.0,18,"['HARD', 'MEDIUM', 'HARD']",Retired,Canadian Grand Prix,2025
30,LAW,19.0,R,"['HARD', 'MEDIUM']",Retired,Canadian Grand Prix,2025
23,ALB,9.0,R,"['MEDIUM', 'HARD']",Retired,Canadian Grand Prix,2025
4,NOR,1.0,1,"['MEDIUM', 'HARD', 'MEDIUM']",Finished,Austrian Grand Prix,2025
81,PIA,3.0,2,"['MEDIUM', 'HARD', 'MEDIUM']",Finished,Austrian Grand Prix,2025
16,LEC,2.0,3,"['MEDIUM', 'HARD', 'MEDIUM']",Finished,Austrian Grand Prix,2025
44,HAM,4.0,4,"['MEDIUM', 'HARD', 'MEDIUM']",Finished,Austrian Grand Prix,2025
63,RUS,5.0,5,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Austrian Grand Prix,2025
30,LAW,6.0,6,"['MEDIUM', 'HARD']",Finished,Austrian Grand Prix,2025
14,ALO,11.0,7,"['MEDIUM', 'HARD']",Lapped,Austrian Grand Prix,2025
5,BOR,8.0,8,"['MEDIUM', 'MEDIUM', 'HARD']",Lapped,Austrian Grand Prix,2025
27,HUL,20.0,9,"['SOFT', 'MEDIUM', 'MEDIUM']",Lapped,Austrian Grand Prix,2025
31,OCO,17.0,10,"['MEDIUM', 'HARD', 'HARD']",Lapped,Austrian Grand Prix,2025
87,BEA,15.0,11,"['SOFT', 'HARD', 'MEDIUM']",Lapped,Austrian Grand Prix,2025
6,HAD,13.0,12,"['SOFT', 'MEDIUM', 'HARD']",Lapped,Austrian Grand Prix,2025
10,GAS,10.0,13,"['SOFT', 'HARD', 'MEDIUM']",Lapped,Austrian Grand Prix,2025
18,STR,16.0,14,"['MEDIUM', 'HARD', 'SOFT']",Lapped,Austrian Grand Prix,2025
43,COL,14.0,15,"['SOFT', 'MEDIUM', 'HARD']",Lapped,Austrian Grand Prix,2025
22,TSU,18.0,16,"['MEDIUM', 'HARD', 'MEDIUM', 'SOFT']",Lapped,Austrian Grand Prix,2025
23,ALB,12.0,R,"['MEDIUM', 'MEDIUM']",Retired,Austrian Grand Prix,2025
1,VER,7.0,R,['MEDIUM'],Retired,Austrian Grand Prix,2025
12,ANT,9.0,R,['MEDIUM'],Retired,Austrian Grand Prix,2025
55,SAI,19.0,W,['MEDIUM'],Did not start,Austrian Grand Prix,2025
4,NOR,3.0,1,"['INTERMEDIATE', 'INTERMEDIATE', 'MEDIUM']",Finished,British Grand Prix,2025
81,PIA,2.0,2,"['INTERMEDIATE', 'INTERMEDIATE', 'MEDIUM']",Finished,British Grand Prix,2025
27,HUL,19.0,3,"['INTERMEDIATE', 'INTERMEDIATE', 'MEDIUM']",Finished,British Grand Prix,2025
44,HAM,5.0,4,"['INTERMEDIATE', 'INTERMEDIATE', 'SOFT']",Finished,British Grand Prix,2025
1,VER,1.0,5,"['INTERMEDIATE', 'INTERMEDIATE', 'MEDIUM']",Finished,British Grand Prix,2025
10,GAS,8.0,6,"['INTERMEDIATE', 'INTERMEDIATE', 'MEDIUM']",Finished,British Grand Prix,2025
18,STR,17.0,7,"['INTERMEDIATE', 'SOFT', 'INTERMEDIATE', 'SOFT']",Finished,British Grand Prix,2025
23,ALB,13.0,8,"['INTERMEDIATE', 'INTERMEDIATE', 'MEDIUM']",Finished,British Grand Prix,2025
14,ALO,7.0,9,"['INTERMEDIATE', 'INTERMEDIATE', 'MEDIUM']",Finished,British Grand Prix,2025
63,RUS,4.0,10,"['HARD', 'INTERMEDIATE', 'HARD']",Finished,British Grand Prix,2025
87,BEA,18.0,11,"['HARD', 'INTERMEDIATE', 'MEDIUM']",Finished,British Grand Prix,2025
55,SAI,9.0,12,"['INTERMEDIATE', 'INTERMEDIATE', 'MEDIUM']",Finished,British Grand Prix,2025
31,OCO,14.0,13,"['INTERMEDIATE', 'INTERMEDIATE', 'MEDIUM']",Finished,British Grand Prix,2025
16,LEC,6.0,14,"['MEDIUM', 'INTERMEDIATE', 'SOFT']",Finished,British Grand Prix,2025
22,TSU,11.0,15,"['INTERMEDIATE', 'INTERMEDIATE', 'MEDIUM']",Lapped,British Grand Prix,2025
12,ANT,10.0,R,"['INTERMEDIATE', 'HARD', 'INTERMEDIATE', 'INTERMEDIATE']",Retired,British Grand Prix,2025
6,HAD,12.0,R,"['MEDIUM', 'INTERMEDIATE']",Retired,British Grand Prix,2025
5,BOR,16.0,R,['MEDIUM'],Retired,British Grand Prix,2025
30,LAW,15.0,R,['INTERMEDIATE'],Retired,British Grand Prix,2025
43,COL,20.0,W,['HARD'],Did not start,British Grand Prix,2025
81,PIA,2.0,1,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
4,NOR,1.0,2,"['INTERMEDIATE', 'HARD']",Finished,Belgian Grand Prix,2025
16,LEC,3.0,3,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
1,VER,4.0,4,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
63,RUS,6.0,5,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
23,ALB,5.0,6,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
44,HAM,18.0,7,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
30,LAW,9.0,8,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
5,BOR,10.0,9,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
10,GAS,13.0,10,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
87,BEA,12.0,11,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
27,HUL,14.0,12,"['INTERMEDIATE', 'MEDIUM', 'None']",Finished,Belgian Grand Prix,2025
22,TSU,7.0,13,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
18,STR,16.0,14,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
31,OCO,11.0,15,"['INTERMEDIATE', 'MEDIUM']",Finished,Belgian Grand Prix,2025
12,ANT,19.0,16,"['INTERMEDIATE', 'MEDIUM', 'None']",Finished,Belgian Grand Prix,2025
14,ALO,20.0,17,"['INTERMEDIATE', 'MEDIUM', 'None']",Finished,Belgian Grand Prix,2025
55,SAI,17.0,18,"['INTERMEDIATE', 'MEDIUM', 'HARD']",Finished,Belgian Grand Prix,2025
43,COL,15.0,19,"['INTERMEDIATE', 'MEDIUM', 'None']",Finished,Belgian Grand Prix,2025
6,HAD,8.0,20,"['INTERMEDIATE', 'MEDIUM', 'HARD']",Lapped,Belgian Grand Prix,2025
4,NOR,3.0,1,"['MEDIUM', 'HARD']",Finished,Hungarian Grand Prix,2025
81,PIA,2.0,2,"['MEDIUM', 'HARD', 'HARD']",Finished,Hungarian Grand Prix,2025
63,RUS,4.0,3,"['MEDIUM', 'HARD', 'HARD']",Finished,Hungarian Grand Prix,2025
16,LEC,1.0,4,"['MEDIUM', 'HARD', 'HARD']",Finished,Hungarian Grand Prix,2025
14,ALO,5.0,5,"['MEDIUM', 'HARD']",Finished,Hungarian Grand Prix,2025
5,BOR,7.0,6,"['MEDIUM', 'HARD']",Finished,Hungarian Grand Prix,2025
18,STR,6.0,7,"['MEDIUM', 'HARD']",Finished,Hungarian Grand Prix,2025
30,LAW,9.0,8,"['MEDIUM', 'HARD']",Finished,Hungarian Grand Prix,2025
1,VER,8.0,9,"['MEDIUM', 'HARD', 'HARD']",Finished,Hungarian Grand Prix,2025
12,ANT,15.0,10,"['MEDIUM', 'HARD']",Lapped,Hungarian Grand Prix,2025
6,HAD,10.0,11,"['MEDIUM', 'HARD']",Lapped,Hungarian Grand Prix,2025
44,HAM,12.0,12,"['HARD', 'MEDIUM']",Lapped,Hungarian Grand Prix,2025
27,HUL,18.0,13,"['SOFT', 'MEDIUM', 'MEDIUM']",Lapped,Hungarian Grand Prix,2025
55,SAI,13.0,14,"['SOFT', 'HARD', 'MEDIUM']",Lapped,Hungarian Grand Prix,2025
23,ALB,19.0,15,"['SOFT', 'MEDIUM', 'HARD']",Lapped,Hungarian Grand Prix,2025
31,OCO,17.0,16,"['MEDIUM', 'HARD']",Lapped,Hungarian Grand Prix,2025
22,TSU,20.0,17,"['MEDIUM', 'SOFT', 'HARD']",Lapped,Hungarian Grand Prix,2025
43,COL,14.0,18,"['MEDIUM', 'HARD', 'HARD']",Lapped,Hungarian Grand Prix,2025
10,GAS,16.0,19,"['HARD', 'MEDIUM']",Lapped,Hungarian Grand Prix,2025
87,BEA,11.0,R,"['MEDIUM', 'HARD']",Retired,Hungarian Grand Prix,2025
81,PIA,1.0,1,"['MEDIUM', 'HARD', 'HARD']",Finished,Dutch Grand Prix,2025
1,VER,3.0,2,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Dutch Grand Prix,2025
6,HAD,4.0,3,"['MEDIUM', 'HARD', 'SOFT']",Finished,Dutch Grand Prix,2025
63,RUS,5.0,4,"['MEDIUM', 'HARD', 'SOFT']",Finished,Dutch Grand Prix,2025
23,ALB,15.0,5,"['MEDIUM', 'HARD', 'SOFT']",Finished,Dutch Grand Prix,2025
87,BEA,20.0,6,"['HARD', 'MEDIUM']",Finished,Dutch Grand Prix,2025
18,STR,19.0,7,"['MEDIUM', 'HARD', 'HARD']",Finished,Dutch Grand Prix,2025
14,ALO,10.0,8,"['MEDIUM', 'HARD', 'HARD']",Finished,Dutch Grand Prix,2025
